client type , rating , review title , review_content
desktop , 5 , " Chất_lượng tốt , giá lại rẻ " , Lần đầu_tiên sử_dụng bộ_đàm nên khi đặt mua trên LAZADA thật_sự cũng ngại về chất_lượng sản_phẩm vì không rành lắm . Nhưng khi nhận được sản_phẩm và đã sử_dụng thì rất ưng_ý về chất_lượng và hình_thức của sản_phẩm
mobile - app , 5 , Sản_phẩm tốt , " Cảm_ơn Lazada đã cung_cấp cho người dùng 1 sản_phẩm tốt , giá_thành hợp_lý , giao hàng đúng hạn ... "
iosApp , 5 , Hài_lòng , Nghe rất hay
desktop , 5 , Rất Hài_Lòng , " Ban_đầu cũng băn_khoăn vì_sao lại đắt hơn các shop khác . Nhưng khi mua và dùng mới thấy chất_lượng rất tốt . Âm to , bass mạnh . Có mic nên rất tiện nghe gọi . "
desktop , 5 , OK , Mình có mua thử 1 cái tai_nghe của shop . Bạn mình nghe xong bây_giờ cứ đòi cho nó thì phải làm_sao : ( (
desktop , 5 , Rất Thích , Cảm_ơn shop vì sản_phẩm cực_kì chất_lượng . Mình sẽ giới_thiệu thêm cho bạn_bè : X
desktop , 5 , Năm_Sao , Bạn mình có giới_thiệu mua hàng của shop . Thực_sự mình rất hài_lòng về sản_phẩm . Cảm_ơn shop
androidApp , 5 , giá tốt giao hàng nhanh ,
desktop , 5 , Năm_Sao , Sản_phẩm rất tốt . Giá_cả hợp_lí
desktop , 5 , " Chất_lượng tốt , chủ shop nhiệt_tình tư_vấn " , Sẽ mua tiếp ủng_hộ shop
desktop , 5 , Năm_Sao , Sản_phẩm tuyệt_vời . Vote shop 5 sao nha . Hi_hi
androidApp , 4,5 sao ,
desktop , 5 , Good , Âm_thanh to này . Bass treble mạnh này . Chẳng_thể chê được điều gì . Xứng_đáng với số tiền bỏ ra
desktop , 5 , Tốt , Tai_nghe hay lắm . Nên mua mọi người à . Hơn hẳn mấy loại tai 10k khác
desktop , 5 , Tuyệt_Vời , Tai_nghe hay lắm . Cảm_ơn shop
desktop , 5 , Sản_Phẩm tốt , Nghe chất_lượng
iosApp , 3 , , " Hàng giao khá nhanh . Hộp đựng tai nghe bị vỡ , không biết do vỡ từ trước hay do ship . Tai_nghe nghe ổn , hay hon mấy loại tai mấy chục , nhưng dây tai nghe rất mỏng , hay bị gập khúc lại dễ nhanh hỏng . "
androidApp , 5 , hàng ngon , " hàng chuẩn , tốt chất_lượng , đáng tiền đi đường đêm_ngày đều ok , định mua thêm vài cái nữa "
androidApp , 5 , xài ok ,
androidApp , 5 , , kính hợp túi_tiền
androidApp , 4 , Giá vậy chất được , " Đã có cái thứ 2 , lần này hộp bị mở ra làm hai , đoán là mở ra để giới_thiệu cho khách đến cửa_hàng , nên cũng nhận , nhưng mong cửa_hàng đừng nên gửi hàng đã bóc vỏ cho khách nữa nhé "
androidApp , 4,4 sao thôi ! , " Kết_nối nhạy , nghe rõ , pin lâu , sau mỗi lần sạc là nghe audio được cỡ 5 tiếng , chỉ có 1 điều là không được êm tai lắm nên chỉ cho 4 sao . RB - T 15 thì nhét êm tai hơn nhưng pin nghe nhạc chỉ cỡ 3 tiếng . "
mobile , 5 , " " , " Vừa_mới nhận được hàng , nhìn đẹp , âm_thanh lớn , kết_nối tốt , đầy_đủ phụ_kiện đi theo , có phiếu bảo_hành và địa_chỉ , đeo vừa tai và thoải_mái . Hiên tại thấy rất đáng để mua , rất đáng tiền bỏ ra . Còn chất_lượng thì phải sài thêm vài tháng mới biết được . "
androidApp , 5,5 sao , Sản_phẩm dùng để nghe nhạc không tốt lắm nhưng với giá này là cũng tốt rồi .
androidApp , 5 , tốt , tôi mua cái này là đã là 3 cái rồi . thật_sự với nhu_cầu sử_dụng của tôi là nó đã đáp_ứng rất tốt . thời_lượng pin khá ổn . đàm_thoại nghe rất rỏ_ràng dù là đang đi ngoài đường . cám_ơn lazada và nhà_cung_cấp hàng đã cho 1 mật hàng thật tuyệt
mobile , 4 , Tạm ổn , " Nghe nhạc tầm 6h liên_tục , giá_cả hợp túi_tiền . Hơi rè khi sử_dụng nghe gọi . Chuông đt ko_thể trở_lại bình_thường lúc đầu sao khi lắm tai_nghe ( nó sẽ theo âm_lượng khi nghe ) "
desktop , 5 , Hài_Lòng , " nghe rõ , ấm , nghe nhạc âm_thanh tram_bổng rất tốt . đặc biệc Pin khoẻ , mình nghe nhạc liên_tục trong 6h mới hết pin . "
androidApp , 1 , " " , chat luong xau.pin dung luong thap .
androidApp , 4 , " " , " sản_phẩm mới nhận sử_dụng OK , tuy_nhiên hoá_đơn bán hàng , phiếu bảo_hành , nhãn đổi trả kèm theo đó lại là loại loa vi_tính , tên và địa_chỉ của người khác . không hiểu nổi ? nếu muốn đổi trả hoặc bảo_hành thì bó_tay "
iosApp , 3 , , Coil chơi khói và vị đều ok
mobile , 4 , " " , Sản_phẩm sài rất ok nghe rõ thời_gian pjn thì quá ok
androidApp , 5 , Năm sao , " "
mobile , 5 , Rat tot nen mua , Pin xai tot so voi gia . Khoang 8 tieng . Nghe to_ro . Chat luong . Nen mua .
desktop , 5 , xa_manh , giá cã hợp lý
androidApp , 5 , " " , good
desktop , 5 , " tạm được , giá phù_hợp , pin dung_lượng 2500mah thì hơi thấp xí , nhưng ko sao . nên dùng " ,
androidApp , 4 , Rất tốt , pin khoẻ nghe gọi to rõ
androidApp , 3 , , " Sản_phẩm nghe lớn , rõ nhưng chất_liệu gia_công chưa đẹp , nhìn lớp nhựa thấy rẻ . "
androidApp , 3 , Tạm ổn , Nghe nhạc thì không tốt lắm . Nghe gọi thì cũng tạm ổn khoảng_cách bắt chỉ được 5m
desktop , 5 , Hàng đẹp chất_lượng tốt , Nhỏ gọn đẹp âm_thanh tốt .
mobile - app , 5 , tai_nghe to nhưng mở âm_lượng lớn hơi rè ! ,
androidApp , 5 , mình mới nhận được hàng hôm_qua bữa_nay mình test thử từ 7h sáng đến 5h chiều vẫn chưa hết pin .. sài thấy ok lắm nhưng để sài thời_gian dài mới biết được độ bền ,
androidApp , 5 , , Sản_phẩm kết_nối ổn . Rất tốt trong tầm_giá
mobile , 5 , , Tot
iosApp , 5 , QUÁ TUYỆT_VỜI , " Sản_phẩm siêu tuyệt dời , tất_cả đề trên cả ok ko có gì để trê_trách "
desktop , 4 , Tai_nghe , " Bao_bì đẹp , chất_lượng nghe rõ . Pin chưa xác_định . "
androidApp , 5 , rất tốt . chỉ có cái kẹp tai hơi yếu và dễ gãy ,
androidApp , 5 , hộp đẹp tai Bluetooth tốt , " tai_nghe tốt , mẫu_mã đẹp "
androidApp , 5 , tốt , " Tai_nghe tốt , nghe gọi to rõ , mic nói chống ồn khá , pin lâu . Hài_lòng với sản_phẩm . Có 1 điều tôi ko vừa_ý là chất_lượng nhựa cũng như độ hoàn_thiện chưa cao . "
androidApp , 5 , " sp tốt , pin trâu hơn 5 tiếng nghe nhạc " ,
iosApp , 4 , Xài tốt ,
androidApp , 4 , good , tiêng TQ
androidApp , 5 , , am_thanh nghe ro tot chua biet sai lau nhu the nao
mobile , 4 , " Đặt 16:38 ngày 18 đến ngày 20 nhận được hàng cái Sản_phẩm đã dc mở ra r mới giao chưa dùng thử . Mà t ghét cái khui họp r mới giao chúa ghét " ,
iosApp , 4 , , nghe nhạc k có trống . giao hàng lâu ... chỉ dc cái pin nghe dc lâu
iosApp , 4 , Ok , " Đúng hẹn Người giao hàng thân_thiện Tai_nghe Ok "
desktop , 5 , Đánh_giá sản_phẩm RB - T 9 , " Sản_phẩm dùng tốt , thời_lượng pin lâu . Tuy_nhiên thông_báo bằng tiếng hoa không hiểu . "
desktop , 5 , Tương_đối tốt trong tầm giá ,
androidApp , 5 , ok , " "
androidApp , 5 , tốt , " đầy_đủ phụ_kiện . rất hài_lòng , test ok . 5 * . "
desktop , 5 , Ngon với tầm giá , " Tai_nghe nhỏ khá gọn , dây chống rối dài , âm_thanh khá ổn cả mic và k bị dè . Giao hàng nhanh "
androidApp , 4 , tốt , " nghe gọi tốt pin ổn nghe nhạc trung_bình "
desktop , 5 , " Tốt - Giá hợp_lý , hình_thức đẹp , loa mic đều ok " , " Ok nhé , giao hàng nhanh , đóng_gói cẩn_thận Giá hợp_lý , hình_thức đẹp , loa mic đều ok Cảm_ơn shop . "
androidApp , 5 , nói_chung là cũng ok pin trâu ,
androidApp , 5 , Tốt , " Đẹp , nhưng âm_thanh ra không lớn cho lắm "
androidApp , 5 , " Rẻ , pin tốt " , " Rõ tiếng , thời_gian sử_dụng 4-5 h rất ok "
mobile , 4 , Hàng rất ok , Hàng dùng ổn_định loa chỉnh nhạy đeo êm tai ủng_hộ shop phát_triển hơn_nữa mình nhận hàng rất ưng_ý
desktop , 4 , Tai_Nghe Remax_T 9 , " Đóng_hộp : chuẩn . Sản_phẩm : gọn , âm_thanh rõ , dễ sử_dụng . Mình là nữ nên khi đeo cảm_giác không nặng_tai . Ok . Khuyết_điểm : bị trễ âm khi , âm_thanh đến tai_nghe luôn bị mất 1 giây . Ví_dụ : khi chỉ đường , map báo turn left , chỉ nghe được từ left . Chuông báo 3 tiếng tong tong_tong , chỉ nghe được 2 tiếng . Đang trải_nghiệm nên chưa biết pin có dùng được 3,4 ngày không đây ! "
iosApp , 4 , Ổn đóng_gói cẩn_thận , Hơi khác so với hình nhưng ok
androidApp , 4 , Tay nghe dùng tốt Mic nhỏ , " Micro chỉ sử_dụng đc khi dùng máy có 2 cổng âm_thanh là mic và micro , ko_thể dùng Micro của tai_nghe trên đt đc , cần lưu_ý khi mua , ko giống như giới_thiệu của shop là cấm dây loa dùng đc cả loa và mic "
androidApp , 5 , , ok
desktop , 1 , Không giống như hình , " Kính shop giao rất xấu , hoàn_toàn không giống trong hình "
androidApp , 4 , " đã sài 6 tháng , vẫn tốt " , " đàm_thoại nghe ổn hơn mấy loại cùng giá à . nghe nhạc từ sáng tới trưa , sạc 2 tiếng , nghe tới chiều ( với âm_lượng vừa ) đổi qua mấy loại ngôn_ngữ rất thú_vị ( tiếng anh vẫn hay hơn ) "
desktop , 5 , Quá ngon mà_lại còn rẻ nữa , Dùng rất tốt khoảng_cách xa rất nhiều vật cản mà vẫn nghe rõ được khoảng gần 1km . Cảm_thấy rất hài_lòng
mobile - app , 3 , Ba sao , Khác so với hình
androidApp , 5 , ok , " chất_lượng ban_đầu ok k biết lâu_dài thế_nào "
androidApp , 4 , được , chưa thử tầm_xa chưa biết . nhưng tầm ngắn thì ok
mobile , 1 , Tệ , Hàng giao không giống mẫu .. gọng kính bị lệch
mobile , 4 , , " Pin xài lâu va tin hiệu rất ổn_định . dong goi rất đẹp + giao hàng nhanh . rất OK khi mua hang bên Nhất_Tín "
mobile - app , 1 , " Mình đặt 2 bộ , 1 bộ ổn , 1 bộ bị hỏng pin , shop đổi hàng giúp mình . " ,
androidApp , 2 , Kinh_rat xau tui ko mua hang dau dung giao , Kinh_rat xau
iosApp , 4 , Ý_kiến cho các bạn tham_khảo , " Hàng nhận sử_dụng khá ưng cái bụng ... Âm_thanh nge to rõ dù chỉnh mức âm_lượng mới phân nữa ... Pin xài khá ok , chạy xe 1 tuần rồi chưa hết pin , mới sạc đúng 1 lần khi nhận hàng .... "
androidApp , 5 , Mua thêm , " Mua 9 cái sử_dụng thấy rất tốt , nay đặt mua thêm 10 cái , đang chờ hàng về . Cảm_ơn shop cho giá tốt . "
mobile - app , 1 , k giống hình kìa , " "
androidApp , 5 , sản_phẩm ok ,
androidApp , 5 , , hàng nhìn đẹp . nghe gọi tốt với giá tiền 350k như_vậy là ok rồi k đòi_hỏi thêm
iosApp , 4 , Rẻ . Nhung k phải hàng xoàn ,
androidApp , 4 , " sản_phẩm Nói_chung là ok trong tầm giá Tuy_nhiên có một nhược_điểm là khi nghe cũng hơi ồn và dè , còn lại là Ok . Mình mới sử_dụng sản_phẩm này được một ngày " ,
iosApp , 5 , Hang sai rat tot ,
desktop , 1 , Quá buồn . Đặt cái kính kia ra kính tròn là sao ? không tin nổi shop lại như_vậy quá tệ , Quá buồn . Đặt cái kính kia ra kính tròn là sao ? không tin nổi shop lại như_vậy quá tệ
androidApp , 5 , sản_phẩm tốt , " sản_phẩm tốt , các chức_năng ổn_định đóng_gói cẩn_thận .. chỉ có điều hộp đã bị mở trước . chắc so shop mở ra để kiểm_tra hay sao ấy "
iosApp , 5 , Quá ok rồi mọi người , Nên mua nhé mọi người
androidApp , 5 , đã nhận đc sp . chất_lượng âm_thanh ok . thks shop ,
iosApp , 1 , " " , " Mới mua dc 2 tháng hôm_nay đang sạc pin thì một cái nổ toé lửa ra . Sạc pin thì biến_dạng pin thì phù ra . Gọi cho nvcs khách_hàng thì nói k dc bảo_hành cty chỉ bảo_hành khi máy tự_nhiên k dùng dc , còn cháy nổ thì k bảo_hành . Chán cho cái kiểu mua đồ trên mạng , hên xui "
desktop , 4 , , Giá cao hơn shop khác
desktop , 5 , nhan dc hang , dung duoc khoan2 1 km . pin dc 1 ngay . cam_on
iosApp , 5 , Đã nhận được máy rồi dùng rất tốt cám_ơn shop , Tốt
mobile - app , 5 , Ok , Chưa thử nhưng nhìn ok
desktop , 5 , da nhan duoc may , dung tot cam_on
androidApp , 5 , tốt , " bộ_đàm dễ sử_dụng , nghe_nói to rõ "
iosApp , 4 , Đã nhân hàng với giá tiền như_vậy cam thay ok nhung ko_biet_co_ben ko thui , Ok hang dung dc
desktop , 3 , , " Khoảng_cách không như quảng_cáo , sử_dụng hiệu_quả khoảng < 700 m . Còn độ bền thì chưa khẳng_định được "
androidApp , 4 , " nghe gọi ok , ok so với giá . nhựa gia_công tạm được " ,
desktop , 5 , GOOD , " Đúng như miêu_tả , xài tốt trong tầm giá , thiếu mỗi là cách âm tiếng ồn thì tuyệt_vời luôn shop ơi "
desktop , 5 , Tốt , " Sản_phẩm rất tốt , thử khoảng_cách 2km vẫn ok , giao hàng bởi dịch_vụ DHL thì ôi thôi quá chậm , làm như nó ôm gói hàng đi vòng_quanh thế_giới rồi mới đưa cho mình , mỗi lần đặt_hàng lazada mà thấy giao qua DHL thì muốn huỷ cho rồi . "
iosApp , 5 , Rất hài_lòng , " Hình_thức đẹp , giao hàng nhanh , rễ sử_dụng . Độ bền chưa biết "
androidApp , 5 , tốt ,
desktop , 5 , " hàng chính hãng , camera hành_trình nên ảnh chụp không thực_sự chất_lượng , ai dùng dslr chuyển qua sẽ hơi hụt_hẫng : ) " ,
desktop , 5 , " lúc đầu rất lo khi mua hàng trên mạng nhưng khi đã nhận hàng thấy sản_phẩm tốt , giao hàng nhanh nhiệt_tình " ,
desktop , 5 , sản_phẩm chất_lượng , " giao hàng quá nhanh . máy rất đẹp , cầm vừa tay , màn_hình to rộng loa nghe to rõ , bàn_phím cứng_cáp . âm_thanh oke . pin dùng 3 4 ngày . giá rất rẻ và máy rất chất . ủng_hộ "
desktop , 5 , Rất tốt , Tiền nào của đó . Giá ở đây mềm hơn nhìu chổ khác
androidApp , 2 , ko ngon , " FM không bắt được đài nào ( minh ở Xuyên_Mộc , BRVT ) . nhạc mp3 trên thẻ micro SD lại bị nấc_cụt như thới xài băng casset bị nhão zậy , nản ! pin tốt , sóng khoẻ ! "
desktop , 5 , Mua hàng trả_góp , " Xin chào ! . Cho mình hỏi , mình muốn mua GoPro 6 theo hình_thức trả_góp qua Techcombank có được không ? "
androidApp , 5 , ok , hag_ẹp
iosApp , 5 , trên cả mong_đợi ,
desktop , 5 , chất_lượng , " ngon bổ rẻ , sản_phẩm quá tuyệt_vời "
desktop , 1 , " Sản_phẩm đơ , lag " , " Không hiểu sao thỉnh_thoảng bị đơ không làm đc j , ấn nút nguồn cũng không được , chỉ có_thể rút pin ra rồi cắm lại : ( . Mới dùng 2 ngày bị đợ 5-6 lần rồi "
androidApp , 5 , , tốt
androidApp , 5 , hàng ngon giá tốt , đúng hàng chính hãng streamcast phân_phối . giá mềm hơn chỗ khác . shop giao nhanh và nhiệt_tình
desktop , 5,5 sao , " Không còn gì để chê về sản_phẩm này , chất_lượng như mô_tả "
desktop , 5 , tuyệt_vời , " giao hàng nhanh , đóng_gói cẩn_thận , máy gọn_nhẹ , âm_thanh tốt , nghe gọi oke "
desktop , 5 , Tuyệt_vời , " Chất_lượng hơn cả mong_đợi , mình mua 3 con đều chất_lượng oke , sẽ ủng_hộ tiếp "
iosApp , 3 , Tạm được , " Giao hàng nhanh , sản_phẩm giống hình . Gắn sim vào sài bị lỗi ko có sóng , nhận sim đc thì xem danh_bạ ko được . Mỗi lần tắt máy phải cài_đặt lại ngày_giờ . "
iosApp , 1 , , Tại_sao đt không lên nguồn vậy .
androidApp , 1 , hàng lỗi , đồ giảm
androidApp , 1 , Zono 204 , " màn_hình hiển_thị ngoài trời tệ , máy nhìn như đồ_chơi vậy , vỏ máy có độ hở không sắc_sảo . Trước mua con Zono 105 tuy rẻ nhưng nhìn đẹp , cứng_cáp hơn con 206 này . FM tệ quá không nghe được đài nào "
desktop , 5 , sản_phẩm chất_lượng , " giao hàng nhanh , sản_phẩm đẹp , màu đỏ tinh_tế , pin dùng rất oke , bàn_phím cứng chắc_chắn "
androidApp , 5 , " sản_phẩm tốt 👍 " ,
desktop , 5 , sản_phẩm chất_lượng , sản_phẩm chất_lượng
androidApp , 4 , kha nang luu tru chua den 1mb ,
androidApp , 5 , , hang tốt giao hang nhanh
iosApp , 4 , Main ko phải 990 ,
androidApp , 5 , Chất_lượng sản_phẩm và chất_lượng phục_vụ tốt , " Đóng_gói rất kỹ và rất chắc_chắn . Sản_phẩm nghe gọi tốt pin dùng lâu mẫu_mã đẹp y như hình . Nhưng được_cái anh giao hàng rất vui_tính và dễ_chịu "
androidApp , 4 , tạm được , " mới dùng chưa nhận_xét đc nhiều . còn chờ thời_gian xem . sản_phẩm vỏ nhựa . rất nhẹ , và chỉ có 2 dải led ở giữa thì_phải chứ ko có led cho từng phím . Bộ_nhớ thấy có 51KB chứ ko phải 32MB như giới_thiệu . "
androidApp , 5 , Tốt , " Máy hoạt_động tốt , êm và mượt , từng chi_tiết như hình . Mình test hơn tháng thấy rất OK . Ths lazada ☺️ "
androidApp , 5 , hag rat ok dep ,
desktop , 1 , ĐTDĐ_ZONO N260 ( 2018 ) , Quá tệ ! ! ! Mất nguồn không dùng được . Bảo_hành ở đâu vậy shop
androidApp , 4 , máy thì ok hok có j phải chê với tầm giá nào , " "
desktop , 3 , máy_tính_để_bàn Dell OPTIPLEX , " Máy ổ_cứng cài chỉ 1 ổ_đĩa C , không phù họp . "
desktop , 4 , Máy CŨng Vừa , Cấu_hình máy vừa đủ
androidApp , 5 , OK ,
desktop , 3 , hình_thức và chất_lượng , " chất_lượng máy dùng được , hình_thức bên ngoài cần tươm_tất hơn . Hồ_sơ yêu_cầu ( bảo_hành , xuất_xứ , hó đơn VAT không thấy giao . "
desktop , 5 , " Đã nhận được hàng , máy dùng tốt , ỗn_định " , " giá rẻ , cấu_hình cao . mình dùng rất thấy oke "
mobile - app , 5 , Có chơi đk fifa vs l ol ko ad , Muốn chơi game
desktop , 4 , " " , ca bo hay chi cpu ko vay
mobile , 5 , Cấu_hình máy , Cho em hỏi cây này dùng pts cc2107 chạy mượn k ạ
iosApp , 5 , Giá tốt , Cấu_hình cao mà giá này ngon đấy shop .
androidApp , 4 , Ok nhưng sao cái màn_hình nó cứ cụp xuống rất khó , " Màn_hình cụp xuống , mới dùng được 4 ngày thì mình thấy OK lượng thì chưa biết thế_nào , màn_hình không chỉnh được nên rất khó_chịu "
androidApp , 3 , máy thiếu drever.shop có link đrẻve máy này ko cho mình xin để cài với ạ ,
desktop , 3 , " Tạm ổn Nhưng tại_sao cái màn_hình bật lên ko đc ? " ,
androidApp , 1 , Tệ , " Mua miếng lót chủ_yếu vì màu đen trên hình , giao hàng thì ko phải như_vậy . Haizzz "
desktop , 5 , 5s ao , " hàng quá tốt , giá quá rẻ "
desktop , 5 , vui , " đã nhận đúng , cho 5s ao "
desktop , 5 , Lót chuột bên này ngon hơn hẳn , dùng min mà hình_đẹp
desktop , 5 , Đã nhận hàng , Lót hịn và mềm_tay
desktop , 5 , Cảm_ơn shop , lót thoải_mái luôn
desktop , 5 , còn hang ko , đang chờ mua tiếp
desktop , 5 , Cám_ơn , Giá rẻ vô_địch
desktop , 5 , Rất tốt . , " mới mua được nửa tháng cảm_nhận : đóng_gói cẩn_thận , chăm_sóc sau bán hàng tốt , sử_dụng ổn_định , không biết độ bền ra sao nhưng thấy hài_lòng . "
desktop , 5 , đã xem , mở_hàng như hình
desktop , 5 , Máy đồng_bộ HP 6200 5 sao . , " Giao hàng là Hp 8200 chênh hơn mấy trăm_nghìn lận . Mình rất hài_lòng , MÁY CHẠY RẤT ÊM , RẤT NHANH "
desktop , 5 , hehe , Có hàng vui_vãi
desktop , 3 , Sản_phẩm giao không đúng như đã thông_tin , Đã nhận dc hàng và thất_vọng lớn nhất là tiêu_đề ghi ổ cứng 320GB mà nhận máy ổ_cứng chỉ 250GB
desktop , 5 , Hài_lòng vì sản_phẩm giống như hình , giá quá rẻ
desktop , 4 , Chất_lượng sản_phẩm , Đúng như trên web . Sản_phẩm OK !
desktop , 5 , Hàng đẹp tốt , 5s ao cho shop
androidApp , 4 , hài_lòng ,
desktop , 5 , hàng đã ngon lại còn rẻ , cám_ơn nha
androidApp , 5 , Giá tốt , sản_phẩm như hình
desktop , 5 , Tốt . , Sp như mô_tả .
desktop , 5 , Rất hài_lòng với sp này , " Mình rất hài_lòng với sản_phẩm này , case máy_tính nhỏ gọn , máy hoạt_động êm_ái ... "
desktop , 5 , " " , " Mây chơi game cf , lmht , fifa mượt k_a . Nếu mua thêm card 2gb thì giá bao_nhiêu "
desktop , 4 , Tốt , " máy dùng mượt , tốt , chạy êm nhưng hàng tặng thì mình vẫn chưa nhận được ( cái USB wifi ) . "
mobile - app , 3 , Hỏi , Mua về lắp rắp hộ được không ? ?
mobile - app , 4 , Ch , Vvjcftgxxc
mobile - app , 5 , Năm sao , " "
mobile - app , 4 , Card màn_hình loại nào , Màn_hình nhiêu in vậy shop
desktop , 1 , Why are not honest ? , " You advertised . ‘ This computer has 1TB HDD installed . ’ But I received computer yesterday has 500G HDD installed . I can ’ t understand . What would you do ? "
mobile - app , 5 , Lazada làm_ăn hơi thiếu_sót , " Mặc_dù bảo tặng cáp chuyển VGA sang HDMI . Nhưng tận ngần 2 tháng mới nhận đc . Cần phải kiểm_tra kĩ hơn . Còn sản_phẩm thì chiến game coi phim mượt . "
mobile - app , 4 , Chất_lượng tốt , Tuy_nhiên chi_tiết có để VGA rời 1GB nhưng thực_tế không có ? Shop vui_lòng giải_thích giúp
mobile , 2 , May_tinh , " Hay bị đơ , có_thể lỗi phần_cứng . "
androidApp , 1 , Hàng china , Usb wifi đâu chả thấy . Mo nap thung ra thấy tem china ban hang nhu vay ha
mobile - app , 3 , Ba sao , " "
mobile , 4 , ... , Máy ngon ko ạk dag đinh mua về choi gta với làm video youtube mà phân_vân hàg trên mạng quá
mobile , 5 , gửi lazada . , mình thích cách giao hàng như_vậy nên chỉ mua thử hàng xem sao . thấy cũng được . mong lazada giao và nhận hàng tốt cũng như việc bảo_hành và đổi trả dc tốt thì lazada sẽ ngày_càng dc tín_nhiệm và phát_triển hơn
androidApp , 1 , Giao sai hãng . Làm_ăn gian_dối , " Ghi là đồng_hồ của hãng Yalozen nhưng sao lại giao hãng Modiya . Đổi lại 1 lần , lần sau vẫn giao sai . Biết là đồng_hồ giá rẻ nên k yêu_cầu chất_lượng nhiều nhưng như vầy thì quá thất_vọng . Chỉ tổ tốn tiền mà mang rác về nha . Mai_mốt đề_nghị shop bán đồ j ghi đồ đó đừng xạo xự lừa tiền khách_hàng như v . Xin cảm_ơn "
androidApp , 3 , " Tien nao cua nay , tang cho may dua nho deo cho vui . " , " Gia nay thi mn tu hieu ve chat luong , day dh sat si thi noi la inox ! ben ban hang phai dang_dung_quy_cach cua mon hang . "
desktop , 1 , " shop naỳ TREO ĐÂÙ DÊ BAŃ THIṬ CHÓ . Đặt mua đông̀ hồ dây inox , khi giao hang̀ laị là dây Da.bao bì đóng gói cố tinh̀ ko ghi rõ chi tiêt́ , ghet́ ghet́ nhât́ là lam̀ vậy ... " , " shop naỳ TREO ĐÂÙ DÊ BAŃ THIṬ CHÓ . Đặt mua đông̀ hồ dây inox , khi giao hang̀ laị là dây Da.bao bì đóng gói cố tinh̀ ko ghi rõ chi tiêt́ , ghet́ ghet́ nhât́ là lam̀ vậy ... "
desktop , 1 , sp lỗi , " Mới nhận hàng . rộng ko mang vừa tay , lệch h ko chỉnh dc . vứt "
androidApp , 1 , Mua đồng giao mắt khính , " Mua_bán kiểu này y_như lừa_đảo Lần sau tởn tới già "
desktop , 1 , Không hài_lòng với sản_phẩm , - trên hình là màu bạc .. sao gửi hàng là màu vàng .. không có số đt liên_hệ với shop
